timestamp,ax,ay,az,vibration,rms
1437,0.0161,0.0735,0.9082,0.2734,0.2734
1457,0.0247,0.0349,0.9060,0.1902,0.4634
1477,0.0388,0.0117,0.9092,0.1343,0.5972
1497,0.0483,0.0183,0.9102,0.0945,0.6915
1517,0.0396,0.0181,0.9133,0.0669,0.7583
1537,0.0298,0.0349,0.9065,0.0449,0.8031
1557,0.0217,0.0388,0.9058,0.0315,0.8342
1577,0.0261,0.0374,0.9063,0.0221,0.8562
1597,0.0334,0.0322,0.9038,0.0147,0.8708
1617,0.0276,0.0208,0.9043,0.0109,0.8810
1637,0.0291,0.0303,0.9041,0.0072,0.8882
1657,0.0598,0.0098,0.9097,0.0128,0.8951
1677,0.0237,0.0281,0.9106,0.0068,0.9000
1697,0.0640,0.0764,0.9116,0.0184,0.9047
1717,0.0161,0.0532,0.9065,0.0090,0.9056
1737,0.0095,0.0405,0.9063,0.0077,0.9060
1757,0.0310,0.0276,0.9065,0.0048,0.9064
1777,0.0435,0.0186,0.9143,0.0080,0.9091
1797,0.0361,0.0210,0.9082,0.0036,0.9091
1817,0.0249,0.0374,0.9087,0.0037,0.9093
1837,0.0215,0.0400,0.9014,0.0044,0.9072
1857,0.0264,0.0356,0.9131,0.0022,0.9093
1877,0.0310,0.0293,0.9124,0.0022,0.9105
1897,0.0334,0.0291,0.9128,0.0021,0.9115
1917,0.0330,0.0300,0.9102,0.0010,0.9114
1937,0.0305,0.0356,0.9087,0.0014,0.9110
1957,0.0286,0.0347,0.9053,0.0017,0.9096
1977,0.0244,0.0369,0.9067,0.0021,0.9091
1997,0.0320,0.0310,0.9111,0.0017,0.9100
2017,0.0244,0.0208,0.9089,0.0041,0.9098
2037,-0.0273,0.0093,0.9119,0.0177,0.9102
2057,0.0083,0.0500,0.8992,0.0086,0.9072
2077,0.0427,0.0508,0.8962,0.0117,0.9045
2097,0.1472,-0.0264,0.9063,0.0426,0.9064
2117,0.0486,0.0168,0.9136,0.0040,0.9090
2137,-0.0054,0.0796,0.8972,0.0262,0.9056
2157,-0.0210,0.0923,0.8914,0.0245,0.9021
2177,0.0227,0.0457,0.8997,0.0024,0.9018
2197,0.0464,0.0251,0.9045,0.0110,0.9029
2217,0.0574,0.0107,0.9106,0.0133,0.9056
2237,0.0413,0.0178,0.9158,0.0060,0.9089
2257,0.0281,0.0330,0.9128,0.0037,0.9104
2277,0.0210,0.0444,0.9109,0.0061,0.9109
2297,0.0244,0.0398,0.9099,0.0026,0.9110
2317,0.0305,0.0327,0.9075,0.0013,0.9102
2337,0.1345,0.1121,0.7876,0.0534,0.8767
2357,0.0713,0.0144,0.8833,0.0138,0.8793
2377,-0.0640,0.1218,0.9023,0.0455,0.8868
2397,-0.0159,0.0852,0.9063,0.0151,0.8936
2417,0.0129,0.0544,0.9055,0.0072,0.8977
2437,0.0735,0.0029,0.9065,0.0268,0.9003
2457,0.0625,0.0042,0.9097,0.0165,0.9034
2477,0.0391,0.0308,0.8906,0.0036,0.9000
2497,0.0183,0.0493,0.9063,0.0084,0.9022
2517,0.0237,0.0496,0.9001,0.0045,0.9021
2537,0.0273,0.0552,0.9016,0.0042,0.9026
2557,0.0344,0.0217,0.9087,0.0077,0.9046
2577,0.0161,0.0479,0.9033,0.0053,0.9046
2597,0.0183,0.0449,0.9016,0.0027,0.9041
2617,0.0220,0.0308,0.9102,0.0042,0.9061
2637,0.0342,0.0298,0.9019,0.0043,0.9052
2657,0.0386,0.0244,0.9119,0.0055,0.9075
2677,0.0273,0.0312,0.9080,0.0011,0.9079
2697,0.0383,-0.0085,0.9011,0.0126,0.9059
2717,0.0510,0.0291,0.9204,0.0078,0.9108
2737,0.0635,0.0312,0.9160,0.0083,0.9131
2757,0.0312,0.0571,0.9292,0.0117,0.9185
2777,0.0332,0.0786,0.9023,0.0140,0.9146
2797,0.0337,0.0576,0.9004,0.0049,0.9111
2817,0.0310,0.0361,0.9004,0.0054,0.9082
2837,0.0317,0.0154,0.9119,0.0095,0.9094
2857,0.0271,0.0354,0.9114,0.0024,0.9103
2877,0.0254,0.0190,0.9158,0.0060,0.9121
2897,0.0283,0.0242,0.9058,0.0027,0.9104
2917,0.0674,0.1260,0.9966,0.0407,0.9383
2937,0.1304,0.0088,0.9121,0.0315,0.9320
2957,0.0664,-0.0117,0.9199,0.0167,0.9288
2977,0.0315,-0.0398,0.9233,0.0227,0.9269
2997,-0.0417,0.0615,0.9004,0.0346,0.9184
3017,-0.0435,0.1104,0.9038,0.0339,0.9149
3037,-0.0156,0.0793,0.9004,0.0118,0.9115
3057,0.0515,0.0259,0.9082,0.0184,0.9106
3077,0.0659,-0.0105,0.9116,0.0234,0.9109
3097,0.0383,0.0378,0.9099,0.0032,0.9111
3117,0.0427,0.0105,0.9099,0.0074,0.9110
3137,0.0054,0.0747,0.9026,0.0173,0.9090
3157,0.0188,0.0229,0.9063,0.0059,0.9083
3177,0.1260,-0.0593,0.9189,0.0418,0.9125
3197,-0.0896,0.1580,0.8967,0.0628,0.9081
3217,-0.1306,0.2061,0.8914,0.0630,0.9079
3237,0.1926,-0.2810,0.9338,0.1325,0.9124
3257,0.8008,-0.6614,0.9653,0.3008,0.9873
3277,0.6514,-0.7139,0.9814,0.1913,1.0799
3297,0.2803,-0.4666,0.9734,0.0448,1.0885
3317,0.0540,0.5439,0.8845,0.2954,0.9747
3337,-0.1233,0.8840,0.8650,0.3209,0.9425
3357,0.3079,0.2810,0.9004,0.0562,0.9538
3377,0.7739,-1.1733,0.9885,0.4520,1.0227
3397,1.4175,-1.5906,1.0466,0.5234,1.3355
3417,1.1055,-0.8076,1.0002,0.1392,1.4372
3437,-0.7097,0.8186,0.8171,0.6410,1.0196
3457,-1.3738,1.6294,0.7546,0.7626,0.9510
3477,0.3020,-0.5857,0.9365,0.3088,0.8966
3497,1.4553,-1.2893,1.0210,0.6010,1.0802
3517,-0.6462,0.9585,0.8311,0.5067,0.9086
3537,-0.8345,0.9595,0.8257,0.3931,0.9524
3557,1.3838,-1.5183,1.0396,0.7254,0.9986
3577,-0.2161,0.7136,0.8713,0.3222,0.9222
3597,-0.6870,0.8257,0.8289,0.3402,0.9368
3617,1.4946,-1.3232,1.0205,0.6825,1.0176
3637,-1.2178,1.3457,0.7942,0.6659,0.9314
