timestamp,ax,ay,az,vibration,rms
1437,0.0535,-0.0024,0.9109,0.2737,0.2737
1457,0.0496,-0.0007,0.9131,0.1922,0.4659
1477,0.0500,-0.0024,0.9080,0.1330,0.5990
1497,0.0503,-0.0051,0.9116,0.0942,0.6932
1517,0.0518,-0.0044,0.9124,0.0662,0.7594
1537,0.0493,0.0002,0.9116,0.0461,0.8054
1557,0.0496,-0.0024,0.9143,0.0331,0.8385
1577,0.0520,-0.0037,0.9033,0.0199,0.8584
1597,0.0486,0.0027,0.9080,0.0154,0.8737
1617,0.0508,-0.0017,0.9119,0.0119,0.8855
1637,0.0469,-0.0034,0.9128,0.0086,0.8941
1657,0.0503,-0.0063,0.9084,0.0049,0.8988
1677,0.0513,-0.0015,0.9099,0.0038,0.9026
1697,0.0500,0.0037,0.9163,0.0049,0.9071
1717,0.0542,0.0059,0.9053,0.0024,0.9070
1737,0.0518,-0.0085,0.9109,0.0033,0.9086
1757,0.0493,-0.0034,0.9121,0.0017,0.9101
1777,0.0481,-0.0039,0.9187,0.0032,0.9130
1797,0.0547,0.0000,0.9104,0.0017,0.9127
1817,0.0476,-0.0022,0.9053,0.0021,0.9109
1837,0.0496,-0.0063,0.9087,0.0013,0.9106
1857,0.0454,-0.0027,0.9077,0.0015,0.9101
1877,0.0513,-0.0017,0.9111,0.0011,0.9108
1897,0.0510,0.0002,0.9128,0.0014,0.9119
1917,0.0491,-0.0005,0.9082,0.0008,0.9112
1937,0.0496,-0.0042,0.9080,0.0010,0.9106
1957,0.0496,0.0000,0.9072,0.0009,0.9100
1977,0.0496,-0.0032,0.9143,0.0018,0.9117
1997,0.0508,-0.0022,0.9124,0.0007,0.9123
2017,0.0486,-0.0029,0.9094,0.0007,0.9118
2037,0.0481,0.0017,0.9116,0.0013,0.9122
2057,0.0488,-0.0032,0.9126,0.0008,0.9127
2077,0.0505,-0.0039,0.9104,0.0008,0.9124
2097,0.0515,-0.0027,0.9038,0.0023,0.9103
2117,0.0532,-0.0022,0.9036,0.0019,0.9087
2137,0.0498,-0.0042,0.9121,0.0016,0.9102
2157,0.0486,-0.0073,0.9097,0.0015,0.9104
2177,0.0513,-0.0039,0.9131,0.0013,0.9116
2197,0.0510,-0.0051,0.9141,0.0012,0.9128
2217,0.0479,-0.0037,0.9124,0.0009,0.9130
2237,0.0496,-0.0027,0.9121,0.0005,0.9132
