timestamp,ax,ay,az,vibration,rms
1437,0.1145,-0.0964,0.9077,0.2760,0.2760
1457,0.0564,-0.0688,0.9060,0.1906,0.4660
1477,0.0105,-0.0344,0.9009,0.1319,0.5961
1497,-0.0181,-0.0083,0.8997,0.0934,0.6865
1517,-0.0273,0.0293,0.8901,0.0652,0.7471
1537,-0.0596,0.0725,0.9014,0.0561,0.7936
1557,-0.0728,0.1082,0.8909,0.0443,0.8243
1577,-0.0620,0.1182,0.8972,0.0332,0.8485
1597,-0.0242,0.1077,0.8982,0.0212,0.8652
1617,0.0149,0.1008,0.9109,0.0225,0.8802
1637,0.0337,0.0823,0.9136,0.0199,0.8912
1657,0.0652,0.0476,0.9148,0.0250,0.8986
1677,0.1116,-0.0037,0.9192,0.0373,0.9051
1697,0.1433,-0.0474,0.9153,0.0417,0.9097
1717,0.1621,-0.0774,0.9224,0.0398,0.9168
1737,0.1577,-0.0957,0.9258,0.0315,0.9238
1757,0.1501,-0.1113,0.9207,0.0250,0.9277
1777,0.1465,-0.1165,0.9207,0.0185,0.9308
1797,0.1240,-0.1123,0.9102,0.0117,0.9290
1817,0.0754,-0.0850,0.9136,0.0165,0.9262
1837,0.0344,-0.0571,0.8999,0.0258,0.9183
1857,-0.0061,-0.0293,0.9043,0.0323,0.9129
1877,-0.0239,0.0034,0.8982,0.0325,0.9073
1897,-0.0364,0.0449,0.8845,0.0347,0.8995
1917,-0.0271,0.0100,0.8955,0.0148,0.8982
1937,-0.0352,0.0513,0.8882,0.0213,0.8952
1957,-0.0757,0.0791,0.9021,0.0290,0.8982
1977,-0.0745,0.1155,0.8909,0.0290,0.8981
1997,-0.0583,0.1162,0.8928,0.0187,0.8989
2017,-0.0305,0.1084,0.9031,0.0118,0.9021
2037,0.0100,0.1050,0.8975,0.0169,0.9022
2057,0.0337,0.0837,0.9202,0.0195,0.9085
2077,0.0615,0.0586,0.9109,0.0229,0.9097
2097,0.0889,0.0173,0.9163,0.0297,0.9119
2117,0.1279,-0.0278,0.9182,0.0385,0.9147
2137,0.1506,-0.0642,0.9128,0.0395,0.9166
2157,0.1553,-0.0847,0.9302,0.0338,0.9243
2177,0.1611,-0.1023,0.9226,0.0287,0.9287
2197,0.1541,-0.1135,0.9114,0.0222,0.9288
2217,0.1475,-0.1226,0.9141,0.0174,0.9300
2237,0.1309,-0.1189,0.9126,0.0109,0.9297
2257,0.0979,-0.0952,0.9104,0.0114,0.9268
2277,0.0542,-0.0720,0.9080,0.0221,0.9219
2297,0.0100,-0.0396,0.9038,0.0316,0.9155
2317,-0.0120,-0.0156,0.9060,0.0314,0.9115
2337,-0.0242,0.0164,0.8936,0.0312,0.9050
2357,-0.0332,0.0486,0.8884,0.0311,0.8994
2377,-0.0701,0.0830,0.9055,0.0365,0.9015
2397,-0.0730,0.1099,0.8909,0.0327,0.8998
2417,-0.0671,0.1226,0.8984,0.0253,0.9018
2437,-0.0691,0.1025,0.8933,0.0129,0.9016
2457,-0.0730,0.1204,0.8999,0.0142,0.9041
2477,-0.0693,0.1245,0.8953,0.0106,0.9047
2497,-0.0315,0.1204,0.8975,0.0105,0.9050
2517,0.0051,0.1057,0.8982,0.0172,0.9044
2537,0.0154,0.0996,0.9104,0.0157,0.9076
2557,0.0310,0.0767,0.9141,0.0178,0.9103
2577,0.0564,0.0576,0.9138,0.0218,0.9118
2597,0.0784,0.0247,0.9219,0.0268,0.9150
2617,0.1150,-0.0056,0.9194,0.0328,0.9171
2637,0.1409,-0.0403,0.9163,0.0357,0.9188
2657,0.1582,-0.0657,0.9187,0.0342,0.9220
2677,0.1604,-0.0784,0.9282,0.0275,0.9281
2697,0.1614,-0.0967,0.9270,0.0239,0.9328
2717,0.1619,-0.1145,0.9216,0.0215,0.9352
2737,0.1599,-0.1116,0.9187,0.0141,0.9361
2757,0.1592,-0.1255,0.9194,0.0137,0.9375
2777,0.1543,-0.1309,0.9189,0.0110,0.9384
2797,0.1472,-0.1304,0.9160,0.0077,0.9379
2817,0.1365,-0.1162,0.9099,0.0051,0.9347
2837,0.1155,-0.1150,0.9128,0.0093,0.9324
2857,0.0823,-0.0906,0.9148,0.0179,0.9292
2877,0.0581,-0.0825,0.9075,0.0203,0.9238
2897,0.0422,-0.0605,0.9023,0.0216,0.9177
2917,0.0244,-0.0508,0.9070,0.0211,0.9145
2937,0.0937,-0.0974,0.9170,0.0106,0.9181
2957,0.0698,-0.0874,0.9155,0.0023,0.9194
2977,0.0562,-0.0769,0.9043,0.0061,0.9163
2997,0.0474,-0.0635,0.8953,0.0094,0.9110
3017,0.0261,-0.0566,0.9026,0.0123,0.9089
3037,0.0105,-0.0454,0.9072,0.0143,0.9085
3057,-0.0046,-0.0344,0.9045,0.0156,0.9072
3077,-0.0112,-0.0251,0.9023,0.0142,0.9056
3097,-0.0129,-0.0168,0.8906,0.0127,0.9010
3117,-0.0217,-0.0068,0.8999,0.0124,0.9006
3137,-0.0276,0.0061,0.8928,0.0130,0.8982
3157,-0.0344,0.0149,0.8911,0.0125,0.8961
3177,-0.0396,0.0198,0.8862,0.0111,0.8933
3197,-0.0408,0.0347,0.8884,0.0116,0.8922
3217,-0.0466,0.0488,0.8896,0.0126,0.8920
3237,-0.0505,0.0618,0.8926,0.0129,0.8930
3257,-0.0613,0.0688,0.8994,0.0126,0.8961
3277,-0.0679,0.0833,0.8950,0.0134,0.8975
3297,-0.0786,0.0847,0.8965,0.0117,0.8993
3317,-0.0845,0.0920,0.8994,0.0110,0.9017
3337,-0.0862,0.1030,0.9016,0.0108,0.9046
3357,-0.0808,0.1106,0.8940,0.0090,0.9044
3377,-0.0764,0.1113,0.8994,0.0063,0.9059
3397,-0.0818,0.1204,0.8853,0.0082,0.9032
3417,-0.0818,0.1228,0.8838,0.0066,0.9010
3437,-0.0769,0.1248,0.8921,0.0046,0.9019
3457,-0.0625,0.0681,0.8938,0.0146,0.9006
3477,-0.0657,0.0740,0.8997,0.0086,0.9019
3497,-0.0757,0.0789,0.9016,0.0048,0.9037
3517,-0.0779,0.0837,0.8977,0.0022,0.9041
3537,-0.0825,0.0913,0.9031,0.0034,0.9063
3557,-0.0911,0.0930,0.9028,0.0047,0.9080
3577,-0.0874,0.0994,0.8972,0.0036,0.9077
3597,-0.0813,0.0989,0.8955,0.0022,0.9068
3617,-0.0845,0.1116,0.8901,0.0057,0.9050
3637,-0.0879,0.1121,0.8857,0.0050,0.9026
3657,-0.0803,0.1145,0.8875,0.0039,0.9013
3677,-0.0806,0.1143,0.8931,0.0025,0.9021
3697,-0.0803,0.1140,0.8865,0.0023,0.9007
3717,-0.0828,0.1167,0.8809,0.0034,0.8982
3737,-0.0845,0.1174,0.8882,0.0017,0.8987
3757,-0.0857,0.1182,0.8850,0.0017,0.8982
3777,-0.0835,0.1230,0.8906,0.0026,0.8996
3797,-0.0852,0.1191,0.8899,0.0009,0.9003
3817,-0.0818,0.1211,0.8992,0.0034,0.9035
3837,-0.0867,0.1138,0.8860,0.0025,0.9017
3857,-0.0852,0.1140,0.8916,0.0011,0.9020
3877,-0.0869,0.1094,0.8950,0.0026,0.9032
3897,-0.0874,0.1025,0.8936,0.0036,0.9033
3917,-0.0862,0.1042,0.8982,0.0026,0.9048
3937,-0.0874,0.1021,0.9023,0.0032,0.9070
3957,-0.0308,-0.0024,0.8879,0.0369,0.8998
3977,-0.0281,-0.0083,0.8962,0.0277,0.8978
3997,-0.0229,-0.0122,0.8999,0.0212,0.8980
4017,-0.0159,-0.0239,0.8979,0.0189,0.8977
4037,-0.0125,-0.0325,0.8999,0.0160,0.8982
4057,-0.0037,-0.0420,0.9004,0.0150,0.8989
4077,0.0095,-0.0496,0.9063,0.0148,0.9012
4097,0.0205,-0.0598,0.9075,0.0149,0.9035
4117,0.0388,-0.0698,0.8992,0.0164,0.9029
4137,0.0513,-0.0835,0.8975,0.0170,0.9025
4157,0.0647,-0.0937,0.9055,0.0170,0.9052
4177,0.0732,-0.1030,0.9133,0.0160,0.9099
4197,0.1023,-0.1182,0.9099,0.0206,0.9134
4217,0.1304,-0.1279,0.9048,0.0231,0.9156
4237,0.1411,-0.1309,0.9070,0.0194,0.9186
4257,0.1504,-0.1443,0.9185,0.0184,0.9252
4277,0.1653,-0.1470,0.9163,0.0170,0.9301
4297,0.1768,-0.1479,0.9197,0.0152,0.9353
4317,0.1855,-0.1423,0.9185,0.0126,0.9388
4337,0.1816,-0.1365,0.9226,0.0078,0.9422
4357,0.1895,-0.1272,0.9226,0.0082,0.9446
4377,0.1836,-0.1226,0.9309,0.0060,0.9482
4397,0.1841,-0.1023,0.9382,0.0100,0.9521
4417,0.1790,-0.0881,0.9180,0.0105,0.9482
4437,0.1702,-0.0642,0.9084,0.0153,0.9414
4457,0.1501,-0.0457,0.9216,0.0174,0.9391
4477,0.1238,-0.0100,0.9241,0.0254,0.9363
4497,0.0107,0.1074,0.9185,0.0664,0.9273
4517,-0.0017,0.1262,0.9033,0.0534,0.9192
4537,-0.0303,0.1382,0.9021,0.0458,0.9147
4557,-0.0479,0.1445,0.9014,0.0372,0.9127
4577,-0.0691,0.1509,0.8955,0.0324,0.9108
4597,-0.0898,0.1516,0.8970,0.0280,0.9108
4617,-0.0964,0.1455,0.8921,0.0207,0.9097
4637,-0.0942,0.1221,0.8945,0.0129,0.9089
4657,-0.0894,0.0945,0.9072,0.0123,0.9110
4677,-0.0669,0.0618,0.8857,0.0171,0.9045
4697,-0.0535,0.0234,0.8843,0.0238,0.8983
4717,-0.0286,-0.0120,0.8955,0.0289,0.8965
4737,-0.0115,-0.0466,0.9011,0.0319,0.8970
4757,0.0361,-0.0715,0.9016,0.0363,0.8977
4777,0.0728,-0.0947,0.9065,0.0381,0.9009
4797,0.1101,-0.1204,0.9136,0.0403,0.9070
4817,0.1475,-0.1396,0.9099,0.0405,0.9126
4837,0.1741,-0.1560,0.9133,0.0377,0.9199
4857,0.1912,-0.1597,0.9104,0.0312,0.9260
4877,0.1797,-0.1418,0.9421,0.0192,0.9388
4897,0.2017,-0.1318,0.9189,0.0173,0.9418
4917,0.1973,-0.1101,0.9255,0.0123,0.9449
